,COURSE_NAME,COURSE_YEAR,COURSE_SEMESTER,FOLDER_NAME,FOLDER_URL
1306,80181 - מתמטיקה דיסקרטית - תשף - שעור ב,2019,Semester 1,2019-20 -> 80181-1 DISCRETE MATHEMATICS - 1,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22f41f9dec-94c6-4134-a50d-aadf00adeeb5%22
1357,מתמטיקה דיסקרטית - תשעט - סמסטר ב - 80181,2018,Semester 2,2018-19 -> 80181-2 DISCRETE MATHEMATICS - 2,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2260b555b4-a292-4ab3-af98-abe400bfbd97%22
1370,מתמטיקה דיסקרטית - תשעט - סמסטר א - 80181,2018,Semester 1,2018-19 -> 80181-1 DISCRETE MATHEMATICS - 1,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%221fb752f6-b3d4-48af-96fa-abe400bfba52%22
1404,80181 - מתמטיקה דיסקרטית - תשעח,2017,Semester 1,,
1456,80181 - מתמטיקה דיסקרטית - תשעז,2016,Semester 1,,
1469,55737 פיננסית ב,2019,Semester 1,2019-20 -> 55737 Financial Accounting B,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%226cd51d01-7b46-4a9c-b8a7-aadf0089504f%22
1497, 72153 - מבוא לביולוגיה של התא לתלמידי ביולוגיה - תשף - תרג ח ,2019,Semester 1,2019-20 -> 72153 Introduction to Cell Biology,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%226136a846-b3e5-406d-a58c-aadf008f3e9f%22
1504,72153 - מבוא לביולוגיה של התא לתלמידי ביולוגיה - תשף - שעור א,2019,Semester 1,2019-20 -> 72153 Introduction to Cell Biology,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%226136a846-b3e5-406d-a58c-aadf008f3e9f%22
1531,72153 - מבוא לביולוגיה של התא לתלמידי ביולוגיה - תשעט,2018,Semester 1,2018-19 -> 72153 Introduction to Cell Biology,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%226ab6b0b8-7bfb-48d8-a711-abe400ba648f%22
1560,72153 - מבוא לביולוגיה של התא לתלמידי ביולוגיה - תשעח,2017,Semester 1,,
1586,72153 - מבוא לביולוגיה של התא לתלמידי ביולוגיה - תשעז,2015,Semester Summer,,
1607,72153 - מבוא לביולוגיה של התא לתלמידי ביולוגיה - תשעו,2014,Semester Summer,,
1620,80091- נקודת ראות מתקדמת על מושגים מתמטיים מהתיכון - תשף - שעור א,2019,Semester 1,2019-20 -> 80091 Topics in High school Mathematics from an advanced point of view,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22f5fa886f-a955-47d7-a0f8-aadf00ad542f%22
1626,71515 ניהול אוכלוסיית מזיקים תשף,2019,Semester 1,2019-20 -> 71515 INTRODUCTION TO PEST CONTROL IN AGRICULTURE,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%228929b9ed-f662-46e8-83c4-aadf008cee90%22
1634,מודלים חישוביים חישוביות וסיבוכיות - תרג ד - תשף - 67521,2019,Semester 1,,
1646,מודלים חישוביים חישוביות וסיבוכיות - תשעט - 67521,2018,Semester 2,"2018-19 -> 67521 COMPUTATIONAL MODELS, COMPUTABILITY AND COMPLEXITY",https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%220eaabe42-4a74-4e55-bcd7-abe400b2c237%22
1705,67521 - מודלים חישוביים חישוביות וסיבוכיות - תשעח,2017,Semester 2,,
1758,67521 מודלים חישוביים חישוביות וסיבוכיות - תשעו,2015,Semester 2,,
1786,69120 - כימיה אורגנית לתלמידי רפואה רפואת צמרת רפואת שיניים - תשף,2019,Semester 1,2019-20 -> 69120 Organic Chemistry for Medicine & Dentistry Students,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%220cbac2a1-6be3-4b39-a071-aadf008f5795%22
1795,69120 - כימיה אורגנית לתלמידי רפואה רפואת צמרת רפואת שיניים - תשעט,2017,Semester Summer,,
1812,69120 - כימיה אורגנית לתלמידי רפואה רפואת צמרת רפואת שיניים - תשעח,2017,Semester 1,,
1825,71752 יסודות המימון תשף,2019,Semester 1,2019-20 -> 71752 INTRODUCTION TO FINANCE,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22252b4643-598d-445e-846c-aadf008ddbac%22
1834,83335 - מבוא להנדסת חשמל - תרג - תשף,2019,Semester 1,2019-20 -> 83335 INTRODUCTION TO ELECTRICAL ENGINEERING,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%227d6bb211-0af3-472d-a9f9-aadf00b10332%22
